election_year,borough,ward,candidate,party,party_normalised,votes,elected,seat_position,ward_total_votes,vote_share_pct,rank_in_ward,winning_party,winning_margin,turnout_pct,verified_ballots,rejected_ballots,party_colour,source_url,data_status,previous_election_swing,geo_reference
2026,Greenwich,Abbey Wood,AYDIN Grace,Local Conservatives,Conservative Party,407,False,Not Elected,11916,3.42,10,Labour Party,128,37.0,4250,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,BEALES Annabel,Green Party,Green Party,1273,False,Not Elected,11916,10.68,4,Labour Party,128,37.0,4250,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,COUSINS Ann-Marie Imani,Independent,Independent,783,False,Not Elected,11916,6.57,9,Labour Party,128,37.0,4250,,#94A3B8,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,CRESWELL Tom,Labour Party,Labour Party,1538,True,Elected,11916,12.91,1,Labour Party,128,37.0,4250,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,DAWODU Jummy,Labour Party,Labour Party,1410,True,Elected,11916,11.83,2,Labour Party,128,37.0,4250,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,GALLIE Simon,Local Conservatives,Conservative Party,357,False,Not Elected,11916,3.0,11,Labour Party,128,37.0,4250,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,GURUNG RANABHAT Gaumaya,Labour Party,Labour Party,1292,True,Elected,11916,10.84,3,Labour Party,128,37.0,4250,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,HANDYSIDE Ruth,Reform UK,Reform UK,968,False,Not Elected,11916,8.12,6,Labour Party,128,37.0,4250,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,HEADON Finbarr Dominic,Liberal Democrats,Liberal Democrats,202,False,Not Elected,11916,1.7,13,Labour Party,128,37.0,4250,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Abbey Wood,HEADON Thomas,Liberal Democrats,Liberal Democrats,166,False,Not Elected,11916,1.39,15,Labour Party,128,37.0,4250,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
