election_year,borough,ward,candidate,party,votes,elected,ward_total_votes,vote_share_pct,rank_in_ward,seat_position,party_colour,winning_party,winning_margin,turnout_pct,rejected_ballots,previous_election_swing,geo_reference,electorate,seats_available,data_status,source_url
2026,Redbridge,Aldborough,Zahrah Awaleh,Redbridge Independents,,,,,,Pending count,#7C3AED,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Joshua Bridgeman-Carty,Redbridge Independents,,,,,,Pending count,#7C3AED,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Ian Caswell,Local Conservatives,,,,,,Pending count,#0087DC,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Gwyneth Deakins,Liberal Democrats,,,,,,Pending count,#FAA61A,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Andrew Eracleous,Liberal Democrats,,,,,,Pending count,#FAA61A,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Jyotsna Islam,Labour Party,,,,,,Pending count,#E4003B,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Janum Janum,Redbridge Independents,,,,,,Pending count,#7C3AED,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Alison Jay,Reform UK,,,,,,Pending count,#12B6CF,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Sara Kassam,Green Party Candidate,,,,,,Pending count,#02A95B,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Naresh Macherla,Independent,,,,,,Pending count,#A3A3A3,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Rahul Mahajan,Local Conservatives,,,,,,Pending count,#0087DC,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Shahana Mashrur,Reform UK,,,,,,Pending count,#12B6CF,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Lebo Phakoe,Labour Party,,,,,,Pending count,#E4003B,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Kam Rai,Labour Party,,,,,,Pending count,#E4003B,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Dhenesh Ramanathan,Reform UK,,,,,,Pending count,#12B6CF,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Aldborough,Savita Sharma,Local Conservatives,,,,,,Pending count,#0087DC,,,43.18,,,,10646,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
